,home,away,home_total,home_ml,away_total,away_ml
186,NewOrleans,GoldenState,108,-160,100,140
187,LALakers,Atlanta,122,-1600,101,900
188,NewYork,Cleveland,123,-240,105,190
189,Brooklyn,Indiana,86,-140,115,120
190,Toronto,Charlotte,132,-400,96,300
191,Chicago,Milwaukee,101,300,115,-400
192,Houston,Portland,132,-310,108,250
193,Dallas,SanAntonio,117,-200,110,170
194,Utah,Minnesota,102,-500,112,375
195,Phoenix,Boston,85,-135,99,115
196,LAClippers,OklahomaCity,90,-400,88,300
197,NewOrleans,Portland,115,-160,104,140
198,Memphis,GoldenState,95,-260,114,210
199,Sacramento,Phoenix,120,-155,116,135
200,LALakers,OklahomaCity,112,-700,107,500
201,Philadelphia,NewYork,109,-900,104,600
202,Washington,SanAntonio,138,110,132,-130
203,Miami,Cleveland,124,-500,100,375
204,Atlanta,Milwaukee,127,500,135,-700
205,Dallas,GoldenState,142,-1600,94,900
206,Brooklyn,Charlotte,101,-190,91,160
207,Toronto,Orlando,113,-150,97,130
208,Chicago,Detroit,109,-105,89,-115
209,Minnesota,Utah,95,130,103,-150
210,Denver,Houston,105,-125,95,105
211,LAClippers,Boston,107,-300,104,240
212,Milwaukee,Portland,137,-1200,129,750
213,Phoenix,NewOrleans,121,-155,124,135
214,Detroit,Atlanta,128,-265,103,215
215,Washington,Charlotte,125,-250,118,200
216,Brooklyn,Sacramento,116,-135,97,115
217,Philadelphia,SanAntonio,115,-300,104,240
218,Chicago,Miami,108,160,116,-190
219,OklahomaCity,LALakers,127,170,130,-200
220,Dallas,Cleveland,143,-650,101,450
221,Denver,Boston,96,-210,92,175
222,Utah,GoldenState,113,-3500,109,1300
223,LAClippers,Houston,122,-210,119,175
224,Minnesota,Phoenix,98,-200,100,170
225,Charlotte,Chicago,115,110,116,-130
226,Indiana,Orlando,111,-275,106,225
227,Philadelphia,Miami,113,-250,86,200
228,NewYork,SanAntonio,104,135,111,-155
229,Atlanta,Toronto,116,260,119,-330
230,Memphis,LALakers,108,280,109,-360
231,Cleveland,Portland,110,225,104,-275
232,Milwaukee,Detroit,104,-1200,90,750
233,Utah,NewOrleans,128,-240,120,190
234,Houston,Dallas,123,-240,137,190
235,Washington,Sacramento,106,-135,113,115
236,NewYork,Brooklyn,101,115,103,-135
237,Denver,Phoenix,116,-700,104,500
238,LAClippers,NewOrleans,134,-1200,109,750
239,Detroit,Orlando,103,-190,88,160
