,date,away,away_pts,home,home_pts,pt_diff,home_win,home_loss
336,2019-12-08,Chicago Bulls,105,Miami Heat,110,5,1,0
337,2019-12-08,Toronto Raptors,104,Philadelphia 76ers,110,6,1,0
338,2019-12-08,Los Angeles Clippers,135,Washington Wizards,119,-16,0,1
339,2019-12-08,Sacramento Kings,110,Dallas Mavericks,106,-4,0,1
340,2019-12-08,Oklahoma City Thunder,108,Portland Trail Blazers,96,-12,0,1
341,2019-12-08,Minnesota Timberwolves,125,Los Angeles Lakers,142,17,1,0
342,2019-12-09,Los Angeles Clippers,110,Indiana Pacers,99,-11,0,1
343,2019-12-09,Cleveland Cavaliers,88,Boston Celtics,110,22,1,0
344,2019-12-09,Toronto Raptors,93,Chicago Bulls,92,-1,0,1
345,2019-12-09,Sacramento Kings,119,Houston Rockets,118,-1,0,1
346,2019-12-09,Orlando Magic,101,Milwaukee Bucks,110,9,1,0
347,2019-12-09,Detroit Pistons,105,New Orleans Pelicans,103,-2,0,1
348,2019-12-09,Minnesota Timberwolves,109,Phoenix Suns,125,16,1,0
349,2019-12-09,Oklahoma City Thunder,104,Utah Jazz,90,-14,0,1
350,2019-12-09,Memphis Grizzlies,110,Golden State Warriors,102,-8,0,1
351,2019-12-10,Washington Wizards,107,Charlotte Hornets,114,7,1,0
352,2019-12-10,Atlanta Hawks,121,Miami Heat,135,14,1,0
353,2019-12-10,Denver Nuggets,92,Philadelphia 76ers,97,5,1,0
354,2019-12-10,New York Knicks,87,Portland Trail Blazers,115,28,1,0
355,2019-12-11,Houston Rockets,116,Cleveland Cavaliers,110,-6,0,1
356,2019-12-11,Boston Celtics,117,Indiana Pacers,122,5,1,0
357,2019-12-11,Los Angeles Lakers,96,Orlando Magic,87,-9,0,1
358,2019-12-11,Los Angeles Clippers,112,Toronto Raptors,92,-20,0,1
